target,species,genus,family,order,class,phylum,kingdom,domain,ref
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-2)Man(a1-3)[Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-2)Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Actinidia_chinensis,Actinidia,Actinidiaceae,Ericales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Man(a1-3)[Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Actinidia_chinensis,Actinidia,Actinidiaceae,Ericales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Man(a1-6)[Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Actinidia_chinensis,Actinidia,Actinidiaceae,Ericales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Man(a1-3)[Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Allium_cepa,Allium,Amaryllidaceae,Asparagales,Monocotyledons ,Angiosperms,Plantae,Eukarya,
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Allium_cepa,Allium,Amaryllidaceae,Asparagales,Monocotyledons ,Angiosperms,Plantae,Eukarya,
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-2)Man(a1-3)[Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-2)Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Allium_cepa,Allium,Amaryllidaceae,Asparagales,Monocotyledons ,Angiosperms,Plantae,Eukarya,
Man(a1-6)[Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Allium_cepa,Allium,Amaryllidaceae,Asparagales,Monocotyledons ,Angiosperms,Plantae,Eukarya,
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Allium_cepa,Allium,Amaryllidaceae,Asparagales,Monocotyledons ,Angiosperms,Plantae,Eukarya,
Man(a1-3)[Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Allium_cepa,Allium,Amaryllidaceae,Asparagales,Monocotyledons ,Angiosperms,Plantae,Eukarya,
GlcNAc(b1-2)Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Allium_cepa,Allium,Amaryllidaceae,Asparagales,Monocotyledons ,Angiosperms,Plantae,Eukarya,
Fruf(b1-2)Fruf(b1-2)Glc(a1-2)Fruf,Allium_cepa,Allium,Amaryllidaceae,Asparagales,Monocotyledons ,Angiosperms,Plantae,Eukarya,
Fruf(b2-6)Glc(a1-2)Fruf,Allium_cepa,Allium,Amaryllidaceae,Asparagales,Monocotyledons ,Angiosperms,Plantae,Eukarya,
Gal(a1-6)Gal(a1-6)Glc(a1-2)Fruf,Allium_cepa,Allium,Amaryllidaceae,Asparagales,Monocotyledons ,Angiosperms,Plantae,Eukarya,
Fruf(b1-2)Fruf(b1-2)Fruf(b2-6)Glc(a1-2)Fruf,Allium_cepa,Allium,Amaryllidaceae,Asparagales,Monocotyledons ,Angiosperms,Plantae,Eukarya,
Gal(a1-6)Glc(a1-2)Fruf,Allium_cepa,Allium,Amaryllidaceae,Asparagales,Monocotyledons ,Angiosperms,Plantae,Eukarya,
Xyl(a1-6)Glc(b1-4)[Gal(b1-2)Xyl(a1-6)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc,Allium_cepa,Allium,Amaryllidaceae,Asparagales,Monocotyledons ,Angiosperms,Plantae,Eukarya,
Xyl(a1-6)Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc,Allium_cepa,Allium,Amaryllidaceae,Asparagales,Monocotyledons ,Angiosperms,Plantae,Eukarya,
Xyl(a1-6)Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc,Allium_cepa,Allium,Amaryllidaceae,Asparagales,Monocotyledons ,Angiosperms,Plantae,Eukarya,
