mAbs,mAb specificty,Ground1_(6d),Ground2_(6d),Ground3_(6d),Ground4_(11d),Ground5_(11d),Ground6_(11d),Space1_(6d),Space2_(6d),Space3_(6d),Space4_(11d),Space5_(11d),Space6_(11d)
JIM3,Linseed Mucilage RG-I,0.005,0.0125,0.0035,0.013,0.0395,0.012,0.0075,0.025,0.008,0.041,0.019,0.019
CCRC-M40,Linseed Mucilage RG-I,0.1135,0.1435,0.083,0.13,0.12,0.1415,0.0875,0.079,0.081,0.1845,0.135,0.1365
CCRC-M161,Linseed Mucilage RG-I,0.0115,0.014,0.007,0.0325,0.013,0.013,0.007,0.008,0.007,0.0445,0.025,0.0255
CCRC-M164,Linseed Mucilage RG-I,0.002,0.0025,0.0015,0.0005,0.002,0.0035,0.001,0.006,0.01,0,0.0015,0.001
CCRC-M98,Physcomitrella Pectin,0.006,0.0065,0.0045,0.005,0.001,0.0055,0.005,0.004,0.018,0.0085,0.0055,0.003
CCRC-M94,Physcomitrella Pectin,0.0063,0.0225,0.008,0.01,0.0145,0.009,0.0095,0.006,0.0145,0.016,0.009,0.0185
CCRC-M5,RG-Ia,0.0435,0.064,0.021,0.102,0.0635,0.049,0.0275,0.0525,0.05,0.1485,0.1095,0.087
CCRC-M2,RG-Ia,0.1705,0.2175,0.109,0.283,0.216,0.1855,0.145,0.211,0.126,0.31,0.304,0.3115
JIM137,RG-Ib,0.0045,0.009,0.007,0.0175,0.0055,0.00475,0.0105,0.012,0.00575,0.009,0.021,0.0065
JIM101,RG-Ib,0.114,0.145,0.076,0.078,0.066,0.134,0.0965,0.055,0.1315,0.053,0.0695,0.1015
CCRC-M61,RG-Ib,0.0825,0.084,0.0465,0.042,0.0475,0.098,0.071,0.035,0.0985,0.038,0.0305,0.0555
CCRC-M30,RG-Ib,0,0.011,0.055,0.01075,0.024,0.01125,0,0.0125,0.03475,0,0.00675,0.01475
CCRC-M23,RG-Ic,0.1305,0.2625,0.1165,0.295,0.216,0.1525,0.097,0.221,0.0875,0.252,0.272,0.317
CCRC-M17,RG-Ic,0.0008,0.01,0.0005,0.022,0.0135,0.0025,0,0.0095,0,0.05,0.0145,0.0195
CCRC-M19,RG-Ic,0,0.00025,0,0,0.009,0.00075,0,0.0035,0,0,0.00075,0.00025
CCRC-M18,RG-Ic,0.0145,0.0315,0.0115,0.0485,0.033,0.014,0.0045,0.036,0.012,0.097,0.04,0.0605
CCRC-M56,RG-Ic,0.1425,0.325,0.1195,0.371,0.1695,0.13,0.1125,0.2955,0.0805,0.3845,0.3265,0.325
CCRC-M16,RG-Ic,0.0565,0.161,0.04,0.298,0.1505,0.0695,0.029,0.1415,0.0315,0.3445,0.2285,0.2285
CCRC-M60,RG-I/AG,0.193,0.277,0.116,0.332,0.228,0.1895,0.162,0.215,0.1295,0.362,0.3095,0.2915
CCRC-M41,RG-I/AG,0.067,0.0835,0.0465,0.088,0.064,0.0725,0.0655,0.057,0.042,0.0775,0.077,0.081
CCRC-M80,RG-I/AG,0.3615,0.431,0.279,0.492,0.408,0.3625,0.299,0.4265,0.2575,0.455,0.464,0.451
CCRC-M79,RG-I/AG,0.34,0.418,0.2565,0.449,0.3945,0.337,0.272,0.394,0.251,0.436,0.446,0.4225
CCRC-M44,RG-I/AG,0.124,0.1475,0.067,0.1935,0.1365,0.1225,0.0575,0.1325,0.0605,0.2035,0.201,0.1765
