glycan,dorsolateral prefrontal cortex,hippocampus,striatum,cerebral cortex
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4)]Man(a1-3)[Gal(b1-3/4)GlcNAc(b1-2/6)[GlcNAc(b1-2/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,100,100,100,100
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4)]Man(a1-3)[Gal(b1-3/4)GlcNAc(b1-2/6)[GlcNAc(b1-2/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,15,25,0,0
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4)]Man(a1-3)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/6)[GlcNAc(b1-2/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,17,0,62
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4)]Man(a1-3)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,20,10,13,23
Neu5Ac(a2-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4)]Man(a1-3)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,63,66,78,59
Neu5Ac(a2-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4)[Gal(b1-3/4)GlcNAc(b1-2/4)]Man(a1-3)[Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,11,13,0,0
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4)]Man(a1-3)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/6)[GlcNAc(b1-2/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,10,0,100,19
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)][Neu5Ac(a2-6)]GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,14,27,0,0
Neu5Ac(a2-6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4)]Man(a1-3)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,16,17,25,0
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4)]Man(a1-3)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/6)[GlcNAc(b1-2/6)]Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,18,0,49
Neu5Ac(a2-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4)]Man(a1-3)[Neu5Ac(a2-6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,18,23,0,0
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-2/4)[Neu5Ac(a2-6)Gal(b1-3/4)GlcNAc(b1-2/4)]Man(a1-3)[Neu5Ac(a2-6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,21,0,0,27
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-2/4)[Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-2/4)]Man(a1-3)[Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,17,0,0
Neu5Ac(a2-6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4)]Man(a1-3)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/6)[Gal(b1-3/4)GlcNAc(b1-2/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,28,0,0,0
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4)]Man(a1-3)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,27,17,0,0
Neu5Ac(a2-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4)[Neu5Ac(a2-6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4)]Man(a1-3)[Neu5Ac(a2-6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,23,33,0,18
