glycan,C1,T1,C2,T2,C3,T3,C4,T4,C5,T5,C6,T6,C7,T7,C8,T8,C9,T9,C10,T10,C11,T11,C12,T12,ST4,ST7,ST6,ST11,ST12
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal6S(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,0,0.87,0.6,1.57,1.23
Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-3)GalNAc,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-3)[Neu5Ac(a2-8)Neu5Ac(a2-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0,0,0,2.48,0,3.01,0,0,0,15.66,0,2.95,0,0,0,6.48,0,0,0,0,0,0,0,0,0,0,0,0,0
Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.97,0,0,0,0,0,0,0,0,0
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc6S(b1-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3)GalNAc,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc6S(b1-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0,0.48,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-3)[Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-3)]GalNAc,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal6S(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc6S(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,8.39,0,3.56,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
Fuc(a1-3/4)[GalOS(b1-3/4)]GlcNAc(b1-3)[Fuc(a1-2)]Gal6S(b1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,4.08,1.82,0,0,3.75,0,3.27,0,2.15,0,0,0,2.53,0,2.5,0,3,2.01,0,0,0,0,0,0,0,0,0
Fuc(a1-3/4)[GalOS(b1-3/4)]GlcNAc(b1-3)Gal6S(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3/4)GlcNAc(b1-3)[Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-3)[Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0,0,0,0,0,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc6S(b1-6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-3)]GalNAc,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-3)Gal6S(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
