glycan,BM0,BM37,BM41,R7B1,R7B3,R7B6,R7B11
{Neu5Ac(a2-6)}Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-?)]Man(a1-?)[Gal(b1-4)GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.660547491,0.793659136,0.266572552,1.241649074,0.731742783,1.236798367,0.494823917
{Neu5Ac(a2-3)}Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-?)]Man(a1-?)[Gal(b1-4)GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.781496796,0.629585482,0.174890837,0.134445563,0.174039866,0.495363098,0.167083964
Man(a1-2)Man(a1-3)[Man(a1-?)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.346698058,0.188930581,1.713517231,0.344165488,0.430615465,0.394153945,0.362473619
Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,5.270693072,3.440362617,2.810411656,5.473117446,6.560188101,4.910126842,5.249759067
GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.461039479,3.17950813,1.34171401,2.680287551,3.289135121,2.696601799,2.997585404
{GlcNAc(b1-?)}Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,0,0.526626927,0,0,0,0
GlcNAc(b1-2)Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.335451866,0.517826582,0.711912006,0.336014435,0.283149009,0.349930388,0.393932281
{GlcNAc(b1-?)}Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.083492503,0.629230211,0.092973404,0.78093045,0.395326249,0.544355864,1.709984341
{GlcNAc(b1-?)}Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,0.173763612,0.08627318,0,0,0,0
{Neu5Ac(a2-?)}Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-?)[Gal(b1-4)GlcNAc(b1-?)]Man(a1-?)[Gal(b1-4)GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.297088129,0.370026793,0.144566033,0.698731692,0.399792302,0.433493884,0
{Neu5Ac(a2-?)}Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-?)[Gal(b1-4)GlcNAc(b1-?)]Man(a1-?)[Gal(b1-4)GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.628226612,0.489874521,0.56963804,0.247901488,0.265897738,0.472924499,0
{Neu5Ac(a2-?)}Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-?)[Gal(b1-4)GlcNAc(b1-?)]Man(a1-?)[Gal(b1-4)GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.426937391,0.247653847,0.402441639,0.1138064,0.093211873,0.127184995,0
{Neu5Ac(a2-?)}Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-?)[Gal(b1-4)GlcNAc(b1-?)]Man(a1-?)[Gal(b1-4)GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.209885256,0.139257728,0.185059492,0.020254058,0.069696477,0,0
{Fuc(a1-?)}{GlcNAc(b1-?)}{Neu5Ac(a2-?)}Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-?)[Gal(b1-4)GlcNAc(b1-?)]Man(a1-?)[Gal(b1-4)GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0,0,0.196010419,0,0,0
Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-?)[Gal(b1-4)GlcNAc(b1-?)]Man(a1-?)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-?)]Man(a1-?)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.147452013,0,0,0.424826822,0.200758948,0.461584172,0.051467284
{Fuc(a1-?)}{Neu5Ac(a2-?)}Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-?)[Gal(b1-4)GlcNAc(b1-?)]Man(a1-?)[Gal(b1-4)GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.06704947,0.122437284,0,0.136133709,0.115554441,0.605723366,0.657423053
{Fuc(a1-?)}{Neu5Ac(a2-?)}Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-?)[Gal(b1-4)GlcNAc(b1-?)]Man(a1-?)[Gal(b1-4)GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.198887555,0.3763689,0,1.311885883,0.69414226,1.625139267,0.532025774
{Fuc(a1-?)}{Neu5Ac(a2-?)}Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-?)[Gal(b1-4)GlcNAc(b1-?)]Man(a1-?)[Gal(b1-4)GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.524716726,0.330584873,0.242237504,0.666924535,0.553672865,0.864475867,0.34938814
{Fuc(a1-?)}{Neu5Ac(a2-?)}Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-?)[Gal(b1-4)GlcNAc(b1-?)]Man(a1-?)[Gal(b1-4)GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.189853704,0.080734672,0,0.089418282,0.153335847,0.128443037,0.062605956
