glycan,mock_1,mock_2,mock_3,mock_4,PR8_1,PR8_2,PR8_3,PR8_4,x31_1,x31_2,x31_3,x31_4
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.015421838,0.003842501,0.01739762,0.011106164,0.013525855,0.014242686,0.011695336,0.007652241,0.008435924,0.007410718,0.003597082,0.005180297
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.250818584,0.225433905,0.256443224,0.208616821,0.324533555,0.488580508,0.325097846,0.205490423,0.354299256,0.350312026,0.294442692,0.297444876
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.059786437,0.029647498,0.054483739,0.050370955,0.06315778,0.047958666,0.051746948,0.065354503,0.03820148,0.014832801,0.014816158,0.014408487
Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.040289432,0.059482242,0.065919203,0.095081412,0.043220784,0.053478682,0.055499362,0.054621825,0.032899903,0.031893498,0.029649685,0.037132118
H7N4S1F1Sulf1,0.031511036,0.026637058,0.035978194,0.040228711,0.016997892,0.032990199,0.041035639,0.055331075,0.044980859,0.040911581,0.032711114,0.047968922
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.053940912,0.047338643,0.076838379,0.036745187,0.001607194,0.008727181,0.01066757,0.046739679,0.028027436,0.030585054,0.01691645,0.011335607
{GlcNAc(b1-4/6)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.05262681,0.027755835,0.022079447,0.04081496,0.031319978,0.019252334,0.037529847,0.04704187,0.009452514,0.009468187,0.009282142,0.003510707
Neu5Ac(a2-3/6)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.048240091,0.086821186,0.054452333,0.070130842,0.031329275,0.029700814,0.012308141,0.028531701,0.035021457,0.08524598,0.018949958,0.050279042
Neu5Ac(a2-3/6)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.016317115,0.030114269,0.031271539,0.029831949,0.029690924,0.009556423,0.017124345,0.010132395,0.016245966,0.004812648,0.027510615,0.024088543
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.019981896,0.025913733,0.02748364,0.024629118,0.108522859,0.099538105,0.112800167,0.117558387,0.135018516,0.125533073,0.131450389,0.136600087
Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.04169831,0.048662425,0.042909344,0.048950111,0.15881316,0.163995921,0.20015456,0.155548269,0.240882412,0.260491729,0.205030085,0.215766728
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.212105101,0.214284719,0.300409958,0.222923813,1.394121291,1.210219915,1.191668467,1.105601061,1.485456675,1.228076108,1.633238962,1.155702266
H6N5F1,0.601644833,0.662311778,0.492751268,0.661773611,0.374670603,0.43218286,0.278058301,0.384456507,0.213254421,0.18651633,0.164647621,0.136107206
Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.466344905,1.324361862,1.549757759,1.187992487,10.37126861,11.7187312,9.608829853,8.923665357,11.69345513,10.44363514,12.34138352,9.925076658
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.052951071,0.166360615,0.07737198,0.04467526,0.24983147,0.324403212,0.182468533,0.186144508,0.358378202,0.227089957,0.478464673,0.304234932
{Neu5Ac(a2-6)}Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,4.046553332,4.676281074,4.269990416,3.571062262,1.79938197,1.55497019,1.576540723,1.470352597,0.487605072,0.439476694,0.42636466,0.45072431
